GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1447.98,3409.67,4508.58,402.23,248.41,-140.27,-3259.42,-25574.75,1505.9,16455.76,-4864.8,136.49,-995.92,-4728.31,-5724.23
2,1457.47,3429.53,4483.65,383.05,219.74,-152.19,-3168.31,-25415.09,1453.99,16509.51,-5159.57,156.17,-798.66,-5003.4,-5802.06
3,1509.76,3602.35,4444.67,408.28,232.82,-149.38,-3142.6,-25569.18,1411.47,16443.89,-5086.16,156.2,-807.92,-4929.95,-5737.87
4,1559.43,3426.37,4487.16,395.76,242.72,-175.31,-3181.88,-25475.81,1426.49,16479.01,-5160.08,155.66,-816.06,-5004.42,-5820.48
5,1499.04,3498.47,4488.61,395.13,238.45,-159.01,-3182.51,-25446.71,1464.93,16509.73,-5214.29,154.39,-693.86,-5059.91,-5753.77
6,1504.27,3413.55,4471.28,409.53,220.97,-154.16,-3206.88,-25483.61,1456.42,16626.44,-5188.61,155.2,-742.19,-5033.41,-5775.6
7,1528.43,3475.49,4430.2,397.25,223.48,-153.46,-3165.12,-25449.18,1444.26,16517.3,-5227.9,156.95,-751.35,-5070.95,-5822.3
8,1503.06,3465.39,4455.92,406.89,220.66,-135.83,-3197.13,-25626.44,1423.6,16533.55,-5001.02,158.06,-950.32,-4842.97,-5793.28
9,1507.05,3487.64,4440.49,408.05,235.77,-156.25,-3126.85,-25622.1,1450.98,16520.23,-5051.13,159.66,-854.99,-4891.48,-5746.47
10,1456.16,3487.06,4455.0,396.99,219.97,-134.61,-3146.41,-25556.34,1452.24,16518.59,-5097.34,160.3,-851.34,-4937.04,-5788.37
11,1508.3,3529.19,4437.49,401.8,256.83,-132.23,-3214.82,-25380.41,1425.38,16519.44,-5219.84,160.18,-649.03,-5059.66,-5708.69
12,1493.16,3441.91,4408.09,399.33,229.35,-139.89,-3149.19,-25436.94,1410.67,16421.98,-5155.97,161.28,-921.51,-4994.69,-5916.21
13,1482.38,3494.71,4441.76,405.64,244.58,-148.01,-3179.79,-25357.79,1485.44,16402.25,-5198.51,159.75,-728.83,-5038.75,-5767.58
14,1564.13,3437.72,4444.9,407.01,234.23,-158.64,-3162.11,-25376.96,1453.3,16473.8,-5216.18,159.93,-682.63,-5056.25,-5738.88
15,1505.16,3517.16,4452.32,387.76,221.51,-188.83,-3138.02,-25524.96,1420.21,16426.26,-5090.89,158.97,-921.42,-4931.92,-5853.34
16,1481.41,3529.36,4471.7,409.67,237.12,-167.25,-3161.39,-25589.74,1426.27,16588.41,-5170.01,161.93,-774.45,-5008.08,-5782.53
17,1458.07,3455.66,4409.3,395.28,232.58,-164.61,-3164.02,-25546.8,1439.87,16558.62,-5129.65,158.34,-926.04,-4971.32,-5897.35
18,1518.75,3495.36,4478.15,416.13,246.6,-190.56,-3170.11,-25402.38,1439.43,16368.71,-5183.45,160.85,-799.93,-5022.6,-5822.53
19,1487.48,3501.39,4454.28,411.73,219.2,-167.07,-3174.82,-25324.6,1429.07,16406.8,-5218.73,158.21,-756.54,-5060.52,-5817.06
20,1481.63,3456.35,4419.1,398.12,231.28,-164.89,-3191.85,-25257.75,1449.47,16387.28,-5282.86,161.25,-791.28,-5121.61,-5912.88
21,1509.98,3410.23,4412.52,387.63,231.09,-134.05,-3192.47,-25355.42,1447.44,16423.34,-5211.63,159.15,-859.71,-5052.48,-5912.19
22,1496.16,3481.85,4454.03,385.61,233.85,-161.15,-3161.12,-25501.14,1443.73,16381.02,-5014.83,160.47,-947.16,-4854.36,-5801.52
23,1527.83,3458.4,4461.44,399.78,226.62,-153.6,-3176.66,-25560.83,1443.65,16382.08,-5036.81,157.78,-991.3,-4879.03,-5870.34
24,1492.96,3544.69,4412.63,402.74,236.12,-173.0,-3129.83,-25604.25,1448.32,16378.78,-4987.04,161.33,-990.85,-4825.71,-5816.56
25,1474.4,3484.37,4458.99,391.04,226.74,-193.99,-3168.2,-25583.39,1460.24,16341.04,-4935.11,157.73,-1108.77,-4777.38,-5886.15
26,1486.14,3511.6,4423.53,398.43,230.95,-188.35,-3226.62,-25586.33,1436.59,16481.03,-4970.99,160.35,-1033.03,-4810.64,-5843.67
27,1526.76,3490.59,4428.13,397.45,223.41,-178.64,-3116.0,-25573.19,1471.2,16317.37,-4961.39,158.28,-1012.92,-4803.12,-5816.03
28,1532.02,3518.98,4428.19,409.84,221.92,-191.0,-3138.91,-25655.17,1456.45,16347.52,-4864.88,157.79,-1070.16,-4707.08,-5777.24
29,1488.35,3435.97,4428.91,394.46,231.52,-194.65,-3172.44,-25703.77,1459.22,16412.48,-4856.72,156.47,-1219.93,-4700.24,-5920.18
30,1431.78,3494.0,4402.5,389.08,233.19,-174.32,-3149.51,-25590.35,1441.55,16375.74,-4933.74,160.25,-1146.37,-4773.49,-5919.86
31,1471.09,3553.96,4467.68,405.12,252.12,-188.69,-3154.45,-25654.17,1459.29,16373.77,-4917.55,153.94,-1014.28,-4763.61,-5777.9
